scheme,security,seeds,goodput_mean,goodput_ci95,p99_latency_cycles_mean,p99_latency_cycles_ci95
modeA,per-frame AEAD,20,0.8562788480904414,0.00048298805433068937,83.3,22.87240840194279
modeB_flush,epoch AEAD,20,0.717484034091763,0.008164002365702284,4020.525,264.97319204412474
modeB_sr,epoch AEAD,20,0.9154588497667191,0.0005503703849314022,1328.425,10.358244748178038
selective_arq_no_auth,none,20,0.8924700420011081,0.0005028168224096296,51.75,7.727165000656347
